id,room_code,host_id,status,current_round,figure_ids,created_at,expires_at
18db543b-ab16-45fe-be68-2aec5460963a,XJVP9G,dfd918b7-4024-4dbc-a792-48dd2703bfae,waiting,0,"[""3aaef136-429e-4ee1-81a3-6b8a666fe99d"",""0b2c1e3e-d069-406b-9986-f18aaac83c5b"",""c03fa567-40cb-43ce-af57-83344d0fe25d"",""06c026ce-9183-45e9-95ca-54108e50290c"",""3388229c-139f-4f4c-8fd4-986176b0af38"",""b61efbd0-c7f5-4259-baa0-50e235837e94"",""2bdee868-9128-4389-8cd4-ff272d0f3038"",""2ba3ca99-5e72-4edc-bb07-4e799e5cb92b"",""f2933cfe-2576-4749-8d14-e6dfd46a8788"",""1b639e55-33fa-4cfd-97d9-e3a6a4450546""]",2025-11-06 09:20:28.458824+00,2025-11-07 09:21:56.681+00
475982d5-e23f-4d1c-ab41-0b0464fe090c,DXEQQL,dfd918b7-4024-4dbc-a792-48dd2703bfae,waiting,0,"[""486b5a5c-b5d5-4fff-84b5-5cf232897d51"",""98a500a9-a896-42bc-9611-6bedcb325e6b"",""3388229c-139f-4f4c-8fd4-986176b0af38"",""ac51139b-e93a-4447-a9d6-c5398434455e"",""f42b31f2-0c7b-4ea7-88d0-0896679aa765"",""06c026ce-9183-45e9-95ca-54108e50290c"",""1b639e55-33fa-4cfd-97d9-e3a6a4450546"",""53190f65-066e-4ea7-911b-7cc31946dd66"",""353538af-e5e9-4a2c-a0af-380d37a4e53c"",""2bdee868-9128-4389-8cd4-ff272d0f3038""]",2025-11-06 09:33:40.566758+00,2025-11-07 09:35:08.826+00
60ff5432-df49-4e92-a12c-aff72676c0a4,EPWRGZ,30bf400c-2aba-4d3d-a224-4351ceffeb81,waiting,0,"[""487ea03d-2cd4-4f68-91eb-1bddeade34b8"",""0b2c1e3e-d069-406b-9986-f18aaac83c5b"",""1b639e55-33fa-4cfd-97d9-e3a6a4450546"",""ceb08a13-e742-4e2c-af09-ec6fe0f71d40"",""353538af-e5e9-4a2c-a0af-380d37a4e53c"",""572fb89d-07be-4b9b-8b5c-33f3c9de79c0"",""6c221933-363d-45c0-bde9-97ae38323368"",""3388229c-139f-4f4c-8fd4-986176b0af38"",""f2933cfe-2576-4749-8d14-e6dfd46a8788"",""b61efbd0-c7f5-4259-baa0-50e235837e94""]",2025-11-06 09:03:48.225708+00,2025-11-07 09:05:16.461+00
6b60cdac-4031-4704-a547-3de1a528293f,S8FV9Q,dfd918b7-4024-4dbc-a792-48dd2703bfae,waiting,0,"[""486b5a5c-b5d5-4fff-84b5-5cf232897d51"",""2bdee868-9128-4389-8cd4-ff272d0f3038"",""06c026ce-9183-45e9-95ca-54108e50290c"",""d3556929-f466-468f-808f-de23560f0e21"",""0b2c1e3e-d069-406b-9986-f18aaac83c5b"",""6c221933-363d-45c0-bde9-97ae38323368"",""98a500a9-a896-42bc-9611-6bedcb325e6b"",""96c5921a-6920-43cd-bcdb-990386420862"",""b61efbd0-c7f5-4259-baa0-50e235837e94"",""7bc0d0db-702f-4305-80e2-2786a9efa7a0""]",2025-11-06 09:33:46.189553+00,2025-11-07 09:35:14.447+00
7ef96008-00f2-4f59-ae53-032efa403a77,3FQG2F,dfd918b7-4024-4dbc-a792-48dd2703bfae,waiting,0,"[""4f612e2c-45c7-4d75-ba4b-512ea3d385ba"",""8060d265-cd30-46a3-af00-aebe877c5f8c"",""2bdee868-9128-4389-8cd4-ff272d0f3038"",""d3556929-f466-468f-808f-de23560f0e21"",""571821e2-712f-4253-b9e2-acd347bb8910"",""ac51139b-e93a-4447-a9d6-c5398434455e"",""06c026ce-9183-45e9-95ca-54108e50290c"",""c03fa567-40cb-43ce-af57-83344d0fe25d"",""57706cbc-ffa0-4dcb-b98a-2ad5764135f8"",""ceb08a13-e742-4e2c-af09-ec6fe0f71d40""]",2025-11-06 09:33:22.552448+00,2025-11-07 09:34:50.808+00
962010e4-2d31-4c0b-a00f-a495ac285a8d,A9WNXL,dfd918b7-4024-4dbc-a792-48dd2703bfae,waiting,0,"[""06c026ce-9183-45e9-95ca-54108e50290c"",""71855ba9-176a-4d37-8e66-ad7d76a030bc"",""487ea03d-2cd4-4f68-91eb-1bddeade34b8"",""3388229c-139f-4f4c-8fd4-986176b0af38"",""4f612e2c-45c7-4d75-ba4b-512ea3d385ba"",""8060d265-cd30-46a3-af00-aebe877c5f8c"",""353538af-e5e9-4a2c-a0af-380d37a4e53c"",""7bc0d0db-702f-4305-80e2-2786a9efa7a0"",""ac51139b-e93a-4447-a9d6-c5398434455e"",""571821e2-712f-4253-b9e2-acd347bb8910""]",2025-11-06 09:33:26.256348+00,2025-11-07 09:34:54.511+00
b65c81be-41be-422f-a36b-1ae0972671f0,VBTX6L,dfd918b7-4024-4dbc-a792-48dd2703bfae,waiting,0,"[""53190f65-066e-4ea7-911b-7cc31946dd66"",""8060d265-cd30-46a3-af00-aebe877c5f8c"",""06c026ce-9183-45e9-95ca-54108e50290c"",""486b5a5c-b5d5-4fff-84b5-5cf232897d51"",""4f612e2c-45c7-4d75-ba4b-512ea3d385ba"",""98a500a9-a896-42bc-9611-6bedcb325e6b"",""3388229c-139f-4f4c-8fd4-986176b0af38"",""2ba3ca99-5e72-4edc-bb07-4e799e5cb92b"",""f42b31f2-0c7b-4ea7-88d0-0896679aa765"",""572fb89d-07be-4b9b-8b5c-33f3c9de79c0""]",2025-11-06 09:33:46.053406+00,2025-11-07 09:35:14.31+00
c335ec20-8f59-420f-9322-1a6e49decab8,NXRY4G,dfd918b7-4024-4dbc-a792-48dd2703bfae,waiting,0,"[""2ba3ca99-5e72-4edc-bb07-4e799e5cb92b"",""7bc0d0db-702f-4305-80e2-2786a9efa7a0"",""d3556929-f466-468f-808f-de23560f0e21"",""53190f65-066e-4ea7-911b-7cc31946dd66"",""1b639e55-33fa-4cfd-97d9-e3a6a4450546"",""3388229c-139f-4f4c-8fd4-986176b0af38"",""06c026ce-9183-45e9-95ca-54108e50290c"",""3aaef136-429e-4ee1-81a3-6b8a666fe99d"",""ceb08a13-e742-4e2c-af09-ec6fe0f71d40"",""98a500a9-a896-42bc-9611-6bedcb325e6b""]",2025-11-06 09:33:45.494895+00,2025-11-07 09:35:13.746+00
d47c9d30-8679-497d-9d01-808085e53c72,2DEGD6,dfd918b7-4024-4dbc-a792-48dd2703bfae,waiting,0,"[""ac51139b-e93a-4447-a9d6-c5398434455e"",""2ba3ca99-5e72-4edc-bb07-4e799e5cb92b"",""487ea03d-2cd4-4f68-91eb-1bddeade34b8"",""6774e5e2-7830-4a3d-960b-ea4103bb0a23"",""c03fa567-40cb-43ce-af57-83344d0fe25d"",""572fb89d-07be-4b9b-8b5c-33f3c9de79c0"",""3388229c-139f-4f4c-8fd4-986176b0af38"",""b61efbd0-c7f5-4259-baa0-50e235837e94"",""2bdee868-9128-4389-8cd4-ff272d0f3038"",""ceb08a13-e742-4e2c-af09-ec6fe0f71d40""]",2025-11-06 09:33:26.482312+00,2025-11-07 09:34:54.74+00
e83259ba-e908-4f4c-adfb-c09fabb9bcce,NL56AE,dfd918b7-4024-4dbc-a792-48dd2703bfae,waiting,0,"[""f2933cfe-2576-4749-8d14-e6dfd46a8788"",""486b5a5c-b5d5-4fff-84b5-5cf232897d51"",""3388229c-139f-4f4c-8fd4-986176b0af38"",""d3556929-f466-468f-808f-de23560f0e21"",""1b639e55-33fa-4cfd-97d9-e3a6a4450546"",""96c5921a-6920-43cd-bcdb-990386420862"",""b61efbd0-c7f5-4259-baa0-50e235837e94"",""ac51139b-e93a-4447-a9d6-c5398434455e"",""0b2c1e3e-d069-406b-9986-f18aaac83c5b"",""c03fa567-40cb-43ce-af57-83344d0fe25d""]",2025-11-06 09:17:54.23082+00,2025-11-07 09:19:22.44+00
